doi,author,editor,isbn,issn,journal,note,number,pages,publisher,title,url,volume,year
10.1016/j.isci.2018.12.002,"Allen, Julie M. and Germain-Aubrey, Charlotte C. and Barve, Narayani and Neubig, Kurt M. and Majure, Lucas C. and Laffan, Shawn W. and Mishler, Brent D. and Owens, Hannah L. and Smith, Stephen A. and Whitten, W. Mark and Abbott, J. Richard and Soltis, Douglas E. and Guralnick, Robert and Soltis, Pamela S.",,,2589-0042,iScience,,,57–70,Elsevier BV,Spatial Phylogenetics of Florida Vascular Plants: The Effects of Calibration and Uncertainty on Diversity Estimates,http://dx.doi.org/10.1016/j.isci.2018.12.002,11,2019
10.1111/ecog.03927,"Crouch, Nicholas M. A. and Capurucho, João M. G. and Hackett, Shannon J. and Bates, John M.",,,1600-0587,Ecography,,2,390–399,Wiley,Evaluating the contribution of dispersal to community structure in Neotropical passerine birds,http://dx.doi.org/10.1111/ecog.03927,42,2018
10.1111/geb.12888,"Daru, Barnabas H. and le Roux, Peter C. and Gopalraj, Jeyanthi and Park, Daniel S. and Holt, Ben G. and Greve, Michelle","Fleishman, Erica",,1466-8238,Global Ecology and Biogeography,,6,757–766,Wiley,Spatial overlaps between the global protected areas network and terrestrial hotspots of evolutionary diversity,http://dx.doi.org/10.1111/geb.12888,28,2019
10.1111/ddi.12988,"Fuentes‐Castillo, Taryn and Scherson, Rosa A. and Marquet, Pablo A. and Fajardo, Javier and Corcoran, Derek and Román, María José and Pliscoff, Patricio","Holmgren, Milena (OE)",,1472-4642,Diversity and Distributions,,12,1897–1909,Wiley,Modelling the current and future biodiversity distribution in the Chilean Mediterranean hotspot. The role of protected areas network in a warmer future,http://dx.doi.org/10.1111/ddi.12988,25,2019
10.1098/rspb.2018.2477,"Gallien, Laure and Thornhill, Andrew H. and Zurell, Damaris and Miller, Joseph T. and Richardson, David M.",,,1471-2954,Proceedings of the Royal Society B: Biological Sciences,,1897,20182477,The Royal Society,Global predictors of alien plant establishment success: combining niche and trait proxies,http://dx.doi.org/10.1098/rspb.2018.2477,286,2019
10.1111/ecog.03783,"Garcia–R, Juan C. and Gonzalez‐Orozco, Carlos E. and Trewick, Steven A.",,,1600-0587,Ecography,,3,500–510,Wiley,Contrasting patterns of diversification in a bird family (Aves: Gruiformes: Rallidae) are revealed by analysis of geospatial distribution of species and phylogenetic diversity,http://dx.doi.org/10.1111/ecog.03783,42,2018
10.1073/pnas.1900056116,"Greenlon, Alex and Chang, Peter L. and Damtew, Zehara Mohammed and Muleta, Atsede and Carrasquilla-Garcia, Noelia and Kim, Donghyun and Nguyen, Hien P. and Suryawanshi, Vasantika and Krieg, Christopher P. and Yadav, Sudheer Kumar and Patel, Jai Singh and Mukherjee, Arpan and Udupa, Sripada and Benjelloun, Imane and Thami-Alami, Imane and Yasin, Mohammad and Patil, Bhuvaneshwara and Singh, Sarvjeet and Sarma, Birinchi Kumar and von Wettberg, Eric J. B. and Kahraman, Abdullah and Bukun, Bekir and Assefa, Fassil and Tesfaye, Kassahun and Fikre, Asnake and Cook, Douglas R.",,,1091-6490,Proceedings of the National Academy of Sciences,,30,15200–15209,Proceedings of the National Academy of Sciences,Global-level population genomics reveals differential effects of geography and phylogeny on horizontal gene transfer in soil bacteria,http://dx.doi.org/10.1073/pnas.1900056116,116,2019
10.1163/15685403-00003832,"Lam-Gordillo, Orlando and Ardisson, Pedro-Luis",,,1568-5403,Crustaceana,,1,1–31,Brill,The global distribution and richness of frog crabs (Raninoidea),http://dx.doi.org/10.1163/15685403-00003832,92,2019
10.1111/ecog.04194,"López‐Aguirre, Camilo and Hand, Suzanne J. and Laffan, Shawn W. and Archer, Michael",,,1600-0587,Ecography,,6,1188–1199,Wiley,Zoogeographical regions and geospatial patterns of phylogenetic diversity and endemism of New World bats,http://dx.doi.org/10.1111/ecog.04194,42,2019
10.1111/jbi.13496,"McDonald‐Spicer, Christiana and Knerr, Nunzio J. and Encinas‐Viso, Francisco and Schmidt‐Lebuhn, Alexander N.",,,1365-2699,Journal of Biogeography,,2,255–267,Wiley,Big data for a large clade: Bioregionalization and ancestral range estimation in the daisy family (Asteraceae),http://dx.doi.org/10.1111/jbi.13496,46,2019
10.1098/rspb.2019.1887,"Sundaram, Mekala and Donoghue, Michael J. and Farjon, Aljos and Filer, Denis and Mathews, Sarah and Jetz, Walter and Leslie, Andrew B.",,,1471-2954,Proceedings of the Royal Society B: Biological Sciences,,1912,20191887,The Royal Society,Accumulation over evolutionary time as a major cause of biodiversity hotspots in conifers,http://dx.doi.org/10.1098/rspb.2019.1887,286,2019
10.1002/ece3.5059,"Shelley, James J. and Dempster, Tim and Le Feuvre, Matthew C. and Unmack, Peter J. and Laffan, Shawn W. and Swearer, Stephen E.",,,2045-7758,Ecology and Evolution,,8,4568–4588,Wiley,A revision of the bioregionalisation of freshwater fish communities in the Australian Monsoonal Tropics,http://dx.doi.org/10.1002/ece3.5059,9,2019
10.17520/biods.2019224,"Xuerui, Dong and Hong, Zhang and Minggang, Zhang",,,1005-0094,Biodiversity Science,,12,1269–1278,Biodiversity Science,Explaining the diversity and endemic patterns based on phylogenetic approach for woody plants of the Loess Plateau,http://dx.doi.org/10.17520/biods.2019224,27,2019
10.1111/ecog.02596,"Bloomfield, Nathaniel J. and Knerr, Nunzio and Encinas‐Viso, Francisco",,,1600-0587,Ecography,,1,1–10,Wiley,A comparison of network and clustering methods to detect biogeographical regions,http://dx.doi.org/10.1111/ecog.02596,41,2017
10.1080/11263504.2017.1353550,"Carta, Angelino and Pierini, Brunello and Roma-Marzio, Francesco and Bedini, Gianni and Peruzzi, Lorenzo",,,1724-5575,Plant Biosystems - An International Journal Dealing with all Aspects of Plant Biology,,4,831–839,Informa UK Limited,Phylogenetic measures of biodiversity uncover pteridophyte centres of diversity and hotspots in Tuscany,http://dx.doi.org/10.1080/11263504.2017.1353550,152,2017
10.1002/ecm.1287,"Dalrymple, Rhiannon L. and Flores‐Moreno, Habacuc and Kemp, Darrell J. and White, Thomas E. and Laffan, Shawn W. and Hemmings, Frank A. and Hitchcock, Timothy D. and Moles, Angela T.",,,1557-7015,Ecological Monographs,,2,204–224,Wiley,Abiotic and biotic predictors of macroecological patterns in bird and butterfly coloration,http://dx.doi.org/10.1002/ecm.1287,88,2018
10.1016/j.jaridenv.2018.04.005,"Di Virgilio, G. and Wardell-Johnson, G.W. and Robinson, T.P. and Temple-Smith, D. and Hesford, J.",,,0140-1963,Journal of Arid Environments,,,59–68,Elsevier BV,"Characterising fine-scale variation in plant species richness and endemism across topographically complex, semi-arid landscapes",http://dx.doi.org/10.1016/j.jaridenv.2018.04.005,156,2018
10.1111/jbi.13399,"Elliott, Meg J. and Knerr, Nunzio J. and Schmidt‐Lebuhn, Alexander N.",,,1365-2699,Journal of Biogeography,,9,2190–2201,Wiley,Choice between phylogram and chronogram can have a dramatic impact on the location of phylogenetic diversity hotspots,http://dx.doi.org/10.1111/jbi.13399,45,2018
10.1111/geb.12679,"Guedes, Thaís B. and Sawaya, Ricardo J. and Zizka, Alexander and Laffan, Shawn and Faurby, Søren and Pyron, R. Alexander and Bérnils, Renato S. and Jansen, Martin and Passos, Paulo and Prudente, Ana L. C. and Cisneros‐Heredia, Diego F. and Braz, Henrique B. and Nogueira, Cristiano de C. and Antonelli, Alexandre",,,1466-8238,Global Ecology and Biogeography,,1,14–21,Wiley,"Patterns, biases and prospects in the distribution and diversity of Neotropical snakes",http://dx.doi.org/10.1111/geb.12679,27,2017
10.1007/978-3-319-93145-6,,,9783319931456,,,,,,Springer International Publishing,Phylogenetic Diversity: Applications and Challenges in Biodiversity Science,http://dx.doi.org/10.1007/978-3-319-93145-6,,2018
10.1111/jse.12430,"Link‐Pérez, Melanie A. and Laffan, Shawn W.",,,1759-6831,Journal of Systematics and Evolution,,5,498–522,Wiley,Fern and lycophyte diversity in the Pacific Northwest: Patterns and predictors,http://dx.doi.org/10.1111/jse.12430,56,2018
10.1111/ecog.03260,"López‐Aguirre, Camilo and Hand, Suzanne J. and Laffan, Shawn W. and Archer, Michael",,,1600-0587,Ecography,,12,1955–1966,Wiley,"Phylogenetic diversity, types of endemism and the evolutionary history of New World bats",http://dx.doi.org/10.1111/ecog.03260,41,2018
10.3897/zookeys.792.25314,"Miu, Iulia V. and Gabriel B., Chisamera and Popescu, Viorel D. and Iosif, Ruben and Nita, Andreea and Manolache, Steluta and Gavril, Viorel D. and Cobzaru, Ioana and Rozylowicz, Laurentiu",,,1313-2989,ZooKeys,,,133–158,Pensoft Publishers,"Conservation priorities for terrestrial mammals in Dobrogea Region, Romania",http://dx.doi.org/10.3897/zookeys.792.25314,792,2018
10.11646/phytotaxa.376.6.3,"MONTAÑO-ARIAS, GENARO and LUNA-VEGA, ISOLDA and MORRONE, JUAN J. and ESPINOSA, DAVID",,,1179-3155,Phytotaxa,,6,277,Magnolia Press,Biogeographical identity of the Mesoamerican dominion with emphasis on seasonally dry tropical forests,http://dx.doi.org/10.11646/phytotaxa.376.6.3,376,2018
10.1016/j.biocon.2018.05.030,"Orsenigo, Simone and Montagnani, Chiara and Fenu, Giuseppe and Gargano, Domenico and Peruzzi, Lorenzo and Abeli, Thomas and Alessandrini, Alessandro and Bacchetta, Gianluigi and Bartolucci, Fabrizio and Bovio, Maurizio and Brullo, Cristian and Brullo, Salvatore and Carta, Angelino and Castello, Miris and Cogoni, Donatella and Conti, Fabio and Domina, Gianniantonio and Foggi, Bruno and Gennai, Matilde and Gigante, Daniela and Iberite, Mauro and Lasen, Cesare and Magrini, Sara and Perrino, Enrico V. and Prosser, Filippo and Santangelo, Annalisa and Selvaggi, Alberto and Stinca, Adriano and Vagge, Ilda and Villani, Mariacristina and Wagensommer, Robert P. and Wilhalm, Thomas and Tartaglini, Nicoletta and Duprè, Eugenio and Blasi, Carlo and Rossi, Graziano",,,0006-3207,Biological Conservation,,,213–222,Elsevier BV,Red Listing plants under full national responsibility: Extinction risk and threats in the vascular flora endemic to Italy,http://dx.doi.org/10.1016/j.biocon.2018.05.030,224,2018
10.1111/jse.12416,"Sosa, Victoria and De‐Nova, J. Arturo and Vásquez‐Cruz, Marilyn",,,1759-6831,Journal of Systematics and Evolution,,5,523–536,Wiley,Evolutionary history of the flora of Mexico: Dry forests cradles and museums of endemism,http://dx.doi.org/10.1111/jse.12416,56,2018
10.1111/jse.12423,"Spalink, Daniel and Pender, Jocelyn and Escudero, Marcial and Hipp, Andrew L. and Roalson, Eric H. and Starr, Julian R. and Waterway, Marcia J. and Bohs, Lynn and Sytsma, Kenneth J.",,,1759-6831,Journal of Systematics and Evolution,,5,449–465,Wiley,The spatial structure of phylogenetic and functional diversity in the United States and Canada: An example using the sedge family (Cyperaceae),http://dx.doi.org/10.1111/jse.12423,56,2018
10.1002/ajb2.1191,"Spalink, Daniel and Kriebel, Ricardo and Li, Pan and Pace, Matthew C. and Drew, Bryan T. and Zaborsky, John G. and Rose, Jeffrey and Drummond, Chloe P. and Feist, Mary Ann and Alverson, William S. and Waller, Donald M. and Cameron, Kenneth M. and Givnish, Thomas J. and Sytsma, Kenneth J.",,,1537-2197,American Journal of Botany,,11,1938–1950,Wiley,Spatial phylogenetics reveals evolutionary constraints on the assembly of a large regional flora,http://dx.doi.org/10.1002/ajb2.1191,105,2018
10.1111/jbi.13143,"Yap, Jia‐Yee S. and Rossetto, Maurizio and Costion, Craig and Crayn, Darren and Kooyman, Robert M. and Richardson, James and Henry, Robert",,,1365-2699,Journal of Biogeography,,4,838–847,Wiley,Filters of floristic exchange: How traits and climate shape the rain forest invasion of Sahul from Sunda,http://dx.doi.org/10.1111/jbi.13143,45,2018
10.1111/aec.12536,"Zhang, Hongxiang and Bonser, Stephen P. and Chen, Si‐Chong and Hitchcock, Timothy and Moles, Angela T.",,,1442-9993,Austral Ecology,,1,69–75,Wiley,Is the proportion of clonal species higher at higher latitudes in Australia?,http://dx.doi.org/10.1111/aec.12536,43,2017
10.3732/ajb.1600326,"Baldwin, Bruce G. and Thornhill, Andrew H. and Freyman, William A. and Ackerly, David D. and Kling, Matthew M. and Morueta‐Holme, Naia and Mishler, Brent D.",,,1537-2197,American Journal of Botany,,3,487–501,Wiley,Species richness and endemism in the native flora of California,http://dx.doi.org/10.3732/ajb.1600326,104,2017
10.1111/gbi.12235,"Bui, E. N. and Thornhill, A. H. and González‐Orozco, C. E. and Knerr, N. and Miller, J. T.",,,1472-4669,Geobiology,,3,427–440,Wiley,Climate and geochemistry as drivers of eucalypt diversification in Australia,http://dx.doi.org/10.1111/gbi.12235,15,2017
10.1201/9781315373096,,,9781315373096,,,,,,CRC Press,Handbook of Australasian Biogeography,http://dx.doi.org/10.1201/9781315373096,,2017
10.1111/ecog.02010,"Chen, Si‐Chong and Cornwell, William K. and Zhang, Hong‐Xiang and Moles, Angela T.",,,1600-0587,Ecography,,4,531–538,Wiley,Plants show more flesh in the tropics: variation in fruit type along latitudinal and climatic gradients,http://dx.doi.org/10.1111/ecog.02010,40,2016
10.1111/jbi.12875,"Di Virgilio, Giovanni and Laffan, Shawn W. and Nielsen, Stuart V. and Chapple, David G.",,,1365-2699,Journal of Biogeography,,3,605–614,Wiley,Does range‐restricted evolutionary history predict extinction risk? A case study in lizards,http://dx.doi.org/10.1111/jbi.12875,44,2016
10.1071/sb17009,"Heenan, Peter B. and Millar, Timothy R. and Smissen, Rob D. and McGlone, Matt S. and Wilton, Aaron D.",,,1030-1887,Australian Systematic Botany,,2,124,CSIRO Publishing,Phylogenetic measures of neo- and palaeo-endemism in the indigenous vascular flora of the New Zealand archipelago,http://dx.doi.org/10.1071/SB17009,30,2017
10.1071/sb16015,"Millar, Timothy R. and Heenan, Peter B. and Wilton, Aaron D. and Smissen, Rob D. and Breitwieser, Ilse",,,1030-1887,Australian Systematic Botany,,2,134,CSIRO Publishing,"Spatial distribution of species, genus and phylogenetic endemism in the vascular flora of New Zealand, and implications for conservation",http://dx.doi.org/10.1071/SB16015,30,2017
10.1080/23766808.2016.1266730,"Pricilla Batista Santos, Amanda and Bitencourt, Cássia and Rapini, Alessandro",,,2376-6808,Neotropical Biodiversity,,1,1–9,Informa UK Limited,Distribution patterns of Kielmeyera (Calophyllaceae): the Rio Doce basin emerges as a confluent area between the northern and southern Atlantic Forest,http://dx.doi.org/10.1080/23766808.2016.1266730,3,2016
10.1016/j.ympev.2017.04.021,"Scherson, Rosa A. and Thornhill, Andrew H. and Urbina-Casanova, Rafael and Freyman, William A. and Pliscoff, Patricio A. and Mishler, Brent D.",,,1055-7903,Molecular Phylogenetics and Evolution,,,88–95,Elsevier BV,Spatial phylogenetics of the vascular flora of Chile,http://dx.doi.org/10.1016/j.ympev.2017.04.021,112,2017
10.1186/s12915-017-0435-x,"Thornhill, Andrew H. and Baldwin, Bruce G. and Freyman, William A. and Nosratinia, Sonia and Kling, Matthew M. and Morueta-Holme, Naia and Madsen, Thomas P. and Ackerly, David D. and Mishler, Brent D.",,,1741-7007,BMC Biology,,1,,Springer Science and Business Media LLC,Spatial phylogenetics of the native California flora,http://dx.doi.org/10.1186/s12915-017-0435-x,15,2017
10.1093/jpe/rtw031,"Tindall, Marianne L. and Thomson, Fiona J. and Laffan, Shawn W. and Moles, Angela T.",,,1752-993X,Journal of Plant Ecology,,,rtw031,Oxford University Press (OUP),Is there a latitudinal gradient in the proportion of species with spinescence?,http://dx.doi.org/10.1093/jpe/rtw031,,2016
10.1111/ddi.12607,"Yu, Fangyuan and Skidmore, Andrew K. and Wang, Tiejun and Huang, Jihong and Ma, Keping and Groen, Thomas A.","Merow, Cory",,1472-4642,Diversity and Distributions,,10,1143–1156,Wiley,Rhododendron diversity patterns and priority conservation areas in China,http://dx.doi.org/10.1111/ddi.12607,23,2017
10.3389/fpls.2017.02134,"Zhang, Hong-Xiang and Zhang, Ming-Li",,,1664-462X,Frontiers in Plant Science,,,,Frontiers Media SA,"Spatial Patterns of Species Diversity and Phylogenetic Structure of Plant Communities in the Tianshan Mountains, Arid Central Asia",http://dx.doi.org/10.3389/fpls.2017.02134,8,2017
10.1111/jbi.12760,"Ceccarelli, F. Sara and Ojanguren‐Affilastro, Andrés A. and Ramírez, Martín J. and Ochoa, José A. and Mattoni, Camilo I. and Prendini, Lorenzo",,,1365-2699,Journal of Biogeography,,10,1942–1954,Wiley,Andean uplift drives diversification of the bothriurid scorpion genus Brachistosternus,http://dx.doi.org/10.1111/jbi.12760,43,2016
10.1111/geb.12412,"Daru, Barnabas H. and le Roux, Peter C.",,,1466-8238,Global Ecology and Biogeography,,3,324–334,Wiley,Marine protected areas are insufficient to conserve global marine plant diversity,http://dx.doi.org/10.1111/geb.12412,25,2015
10.1016/j.palaeo.2015.11.037,"Dowding, Elizabeth M. and Ebach, Malte C.",,,0031-0182,"Palaeogeography, Palaeoclimatology, Palaeoecology",,,39–47,Elsevier BV,The Early Devonian palaeobiogeography of Eastern Australasia,http://dx.doi.org/10.1016/j.palaeo.2015.11.037,444,2016
10.1016/j.apgeog.2016.06.012,"Fagúndez, Jaime and Izco, Jesús",,,0143-6228,Applied Geography,,,23–29,Elsevier BV,Diversity patterns of plant place names reveal connections with environmental and social factors,http://dx.doi.org/10.1016/j.apgeog.2016.06.012,74,2016
10.1177/1940082916667140,"González-Ávila, Patricia Astrid and Luna-Vega, Isolda and García-Sandoval, Ricardo and Contreras-Medina, Raúl",,,1940-0829,Tropical Conservation Science,,4,,SAGE Publications,Distributional patterns of the Order Gomphales (Fungi: Basidiomycota) in Mexico,http://dx.doi.org/10.1177/1940082916667140,9,2016
10.1038/nclimate3126,"González-Orozco, Carlos E. and Pollock, Laura J. and Thornhill, Andrew H. and Mishler, Brent D. and Knerr, Nunzio and Laffan, Shawn W. and Miller, Joseph T. and Rosauer, Dan F. and Faith, Daniel P. and Nipperess, David A. and Kujala, Heini and Linke, Simon and Butt, Nathalie and Külheim, Carsten and Crisp, Michael D. and Gruber, Bernd",,,1758-6798,Nature Climate Change,,12,1110–1114,Springer Science and Business Media LLC,Phylogenetic approaches reveal biodiversity threats under climate change,http://dx.doi.org/10.1038/nclimate3126,6,2016
10.1016/j.envsoft.2015.10.025,"Hallgren, Willow and Beaumont, Linda and Bowness, Andrew and Chambers, Lynda and Graham, Erin and Holewa, Hamish and Laffan, Shawn and Mackey, Brendan and Nix, Henry and Price, Jeff and Vanderwal, Jeremy and Warren, Rachel and Weis, Gerhard",,,1364-8152,Environmental Modelling &amp; Software,,,182–186,Elsevier BV,The Biodiversity and Climate Change Virtual Laboratory: Where ecology meets big data,http://dx.doi.org/10.1016/j.envsoft.2015.10.025,76,2016
10.1111/zoj.12422,"Kaczmarek, Łukasz and Gołdyn, Bartłomiej and Mcinnes, Sandra J. and Michalczyk, Łukasz",,,0024-4082,Zoological Journal of the Linnean Society,,4,737–746,Oxford University Press (OUP),Diversity of limno-terrestrial tardigrades of the Americas in relation to the Great American Biotic Interchange hypothesis (GABI),http://dx.doi.org/10.1111/zoj.12422,178,2016
10.1111/2041-210x.12513,"Laffan, Shawn W. and Rosauer, Dan F. and Di Virgilio, Giovanni and Miller, Joseph T. and González‐Orozco, Carlos E. and Knerr, Nunzio and Thornhill, Andrew H. and Mishler, Brent D.","Jones, Kate",,2041-210X,Methods in Ecology and Evolution,,5,580–588,Wiley,Range‐weighted metrics of species and phylogenetic turnover can better resolve biogeographic transition zones,http://dx.doi.org/10.1111/2041-210X.12513,7,2016
10.1111/jbi.12797,"Thornhill, Andrew H. and Mishler, Brent D. and Knerr, Nunzio J. and González‐Orozco, Carlos E. and Costion, Craig M. and Crayn, Darren M. and Laffan, Shawn W. and Miller, Joseph T.",,,1365-2699,Journal of Biogeography,,11,2085–2098,Wiley,"Continental‐scale spatial phylogenetics of Australian angiosperms provides insights into ecology, evolution and conservation",http://dx.doi.org/10.1111/jbi.12797,43,2016
10.1016/j.biocon.2016.04.006,"Tolley, Krystal A. and Alexander, Graham J. and Branch, William R. and Bowles, Philip and Maritz, Bryan",,,0006-3207,Biological Conservation,,,63–71,Elsevier BV,Conservation status and threats for African reptiles,http://dx.doi.org/10.1016/j.biocon.2016.04.006,204,2016
10.1111/nph.13199,"Cook, Lyn G. and Hardy, Nate B. and Crisp, Michael D.",,,1469-8137,New Phytologist,,2,390–400,Wiley,"Three explanations for biodiversity hotspots: small range size, geographical overlap and time for species accumulation. An <scp>A</scp>ustralian case study",http://dx.doi.org/10.1111/nph.13199,207,2014
10.1111/ddi.12266,"Costion, Craig M. and Edwards, Will and Ford, Andrew J. and Metcalfe, Daniel J. and Cross, Hugh B. and Harrington, Mark G. and Richardson, James E. and Hilbert, David W. and Lowe, Andrew J. and Crayn, Darren M.","Wilson, Kerrie",,1472-4642,Diversity and Distributions,,3,279–289,Wiley,Using phylogenetic diversity to identify ancient rain forest refugia and diversification zones in a biodiversity hotspot,http://dx.doi.org/10.1111/ddi.12266,21,2014
10.1111/geb.12368,"Dalrymple, Rhiannon L. and Kemp, Darrell J. and Flores‐Moreno, Habacuc and Laffan, Shawn W. and White, Thomas E. and Hemmings, Frank A. and Tindall, Marianne L. and Moles, Angela T.",,,1466-8238,Global Ecology and Biogeography,,12,1424–1432,Wiley,"Birds, butterflies and flowers in the tropics are not more colourful than those at higher latitudes",http://dx.doi.org/10.1111/geb.12368,24,2015
10.1111/ddi.12290,"Daru, Barnabas H. and van der Bank, Michelle and Davies, T. Jonathan","Thuiller, Wilfried",,1472-4642,Diversity and Distributions,,7,769–780,Wiley,Spatial incongruence among hotspots and complementary areas of tree diversity in southern <scp>A</scp>frica,http://dx.doi.org/10.1111/ddi.12290,21,2014
10.11646/phytotaxa.208.4.2,"EBACH, MALTE C. and GONZÁLEZ-OROZCO, CARLOS E. and MILLER, JOSEPH T. and MURPHY, DANIEL J.",,,1179-3155,Phytotaxa,,4,261,Magnolia Press,A revised area taxonomy of phytogeographical regions within the Australian Bioregionalisation Atlas,http://dx.doi.org/10.11646/phytotaxa.208.4.2,208,2015
10.1002/ece3.1747,"González‐Orozco, Carlos E. and Mishler, Brent D. and Miller, Joseph T. and Laffan, Shawn W. and Knerr, Nunzio and Unmack, Peter and Georges, Arthur and Thornhill, Andrew H. and Rosauer, Dan F. and Gruber, Bernd",,,2045-7758,Ecology and Evolution,,22,5177–5192,Wiley,Assessing biodiversity and endemism using phylogenetic methods across multiple taxonomic groups,http://dx.doi.org/10.1002/ece3.1747,5,2015
10.1016/j.scitotenv.2015.04.113,"Laity, Tania and Laffan, Shawn W. and González-Orozco, Carlos E. and Faith, Daniel P. and Rosauer, Dan F. and Byrne, Margaret and Miller, Joseph T. and Crayn, Darren and Costion, Craig and Moritz, Craig C. and Newport, Karl",,,0048-9697,Science of The Total Environment,,,131–143,Elsevier BV,Phylodiversity to inform conservation policy: An Australian example,http://dx.doi.org/10.1016/j.scitotenv.2015.04.113,534,2015
10.1371/journal.pone.0126274,"Rosauer, Dan F. and Catullo, Renee A. and VanDerWal, Jeremy and Moussalli, Adnan and Moritz, Craig","Fine, Paul V. A.",,1932-6203,PLOS ONE,,5,e0126274,Public Library of Science (PLoS),Lineage Range Estimation Method Reveals Fine-Scale Endemism Linked to Pleistocene Stability in Australian Rainforest Herpetofauna,http://dx.doi.org/10.1371/journal.pone.0126274,10,2015
10.1098/rspb.2015.1998,"Rossetto, Maurizio and Kooyman, Robert and Yap, Jia-Yee S. and Laffan, Shawn W.",,,1471-2954,Proceedings of the Royal Society B: Biological Sciences,,1820,20151998,The Royal Society,From ratites to rats: the size of fleshy fruits shapes species’ distributions and continental rainforest assembly,http://dx.doi.org/10.1098/rspb.2015.1998,282,2015
10.1007/s11629-014-3070-9,"Sanginés-Franco, Celia and Luna-Vega, Isolda and Contreras-Medina, Raúl and Espinosa, David and Tejero-Díez, José Daniel and Rivas, Gerardo",,,1993-0321,Journal of Mountain Science,,4,891–904,Springer Science and Business Media LLC,"Diversity, endemism and conservation of ferns (Polypodiales) in the Mexican Mountain Component",http://dx.doi.org/10.1007/s11629-014-3070-9,12,2015
10.1111/jbi.12488,"Schmidt‐Lebuhn, Alexander N. and Knerr, Nunzio J. and Miller, Joseph T. and Mishler, Brent D.","Ebach, Malte",,1365-2699,Journal of Biogeography,,6,1114–1122,Wiley,Phylogenetic diversity and endemism of Australian daisies (Asteraceae),http://dx.doi.org/10.1111/jbi.12488,42,2015
10.1111/fog.12129,"Stephenson, Robert L. and Power, Michael J. and Laffan, Shawn W. and Suthers, Iain M.",,,1054-6006,Fisheries Oceanography,,6,553–570,Wiley,Tests of larval retention in a tidally energetic environment reveal the complexity of the spatial structure in herring populations,http://dx.doi.org/10.1111/fog.12129,24,2015
10.1007/s11104-014-2113-x,"Bui, Elisabeth N. and González-Orozco, Carlos E. and Miller, Joseph T.",,,1573-5036,Plant and Soil,,1–2,161–175,Springer Science and Business Media LLC,"Acacia, climate, and geochemistry in Australia",http://dx.doi.org/10.1007/s11104-014-2113-x,381,2014
10.1098/rspb.2014.1461,"Carnaval, Ana Carolina and Waltari, Eric and Rodrigues, Miguel T. and Rosauer, Dan and VanDerWal, Jeremy and Damasceno, Roberta and Prates, Ivan and Strangas, Maria and Spanos, Zoe and Rivera, Danielle and Pie, Marcio R. and Firkowski, Carina R. and Bornschein, Marcos R. and Ribeiro, Luiz F. and Moritz, Craig",,,1471-2954,Proceedings of the Royal Society B: Biological Sciences,,1792,20141461,The Royal Society,Prediction of phylogeographic endemism in an environmentally complex biome,http://dx.doi.org/10.1098/rspb.2014.1461,281,2014
10.1080/13658816.2013.871725,"Di Virgilio, Giovanni and Laffan, Shawn W.",,,1362-3087,International Journal of Geographical Information Science,,8,1658–1673,Informa UK Limited,Using maps of continuous variation in species compositional turnover to supplement uniform polygon species range maps,http://dx.doi.org/10.1080/13658816.2013.871725,28,2014
10.1002/ece3.1156,"Di Virgilio, Giovanni and Laffan, Shawn W. and Ebach, Malte C. and Chapple, David G.",,,2045-7758,Ecology and Evolution,,16,3264–3278,Wiley,Spatial variation in the climatic predictors of species compositional turnover and endemism,http://dx.doi.org/10.1002/ece3.1156,4,2014
10.1111/ddi.12217,"Fenker, Jéssica and Tedeschi, Leonardo G. and Pyron, Robert Alexander and Nogueira, Cristiano de C.","Green, David",,1472-4642,Diversity and Distributions,,10,1108–1119,Wiley,"Phylogenetic diversity, habitat loss and conservation in South American pitvipers (Crotalinae: Bothrops and Bothrocophias)",http://dx.doi.org/10.1111/ddi.12217,20,2014
10.1371/journal.pone.0092558,"González-Orozco, Carlos E. and Ebach, Malte C. and Laffan, Shawn and Thornhill, Andrew H. and Knerr, Nunzio J. and Schmidt-Lebuhn, Alexander N. and Cargill, Christine C. and Clements, Mark and Nagalingum, Nathalie S. and Mishler, Brent D. and Miller, Joseph T.","Joger, Ulrich",,1932-6203,PLoS ONE,,3,e92558,Public Library of Science (PLoS),Quantifying Phytogeographical Regions of Australia Using Geospatial Turnover in Species Composition,http://dx.doi.org/10.1371/journal.pone.0092558,9,2014
10.1111/ddi.12129,"González‐Orozco, Carlos E. and Thornhill, Andrew H. and Knerr, Nunzio and Laffan, Shawn and Miller, Joseph T.","Richardson, David",,1472-4642,Diversity and Distributions,,1,46–58,Wiley,Biogeographical regions and phytogeography of the eucalypts,http://dx.doi.org/10.1111/ddi.12129,20,2013
10.3732/ajb.1400340,"Kooyman, Robert M. and Wilf, Peter and Barreda, Viviana D. and Carpenter, Raymond J. and Jordan, Gregory J. and Sniderman, J. M. Kale and Allen, Andrew and Brodribb, Timothy J. and Crayn, Darren and Feild, Taylor S. and Laffan, Shawn W. and Lusk, Christopher H. and Rossetto, Maurizio and Weston, Peter H.",,,1537-2197,American Journal of Botany,,12,2121–2135,Wiley,Paleo‐Antarctic rainforest into the modern Old World tropics: The rich past and threatened future of the “southern wet forest survivors”,http://dx.doi.org/10.3732/ajb.1400340,101,2014
